# Animal Attribute Values
#	cluster	imagenum	Cat	Dog	Lion	Panda	Tiger
CatHead	1	1	0	0	0	0
CatHead	2	1	0	0	0	0
CatHead	3	1	0	0	0	0
CatHead	4	1	0	0	0	0
CatHead	5	1	0	0	0	0
CatHead	6	1	0	0	0	0
CatHead	7	1	0	0	0	0
CatHead	8	1	0	0	0	0
CatHead	9	1	0	0	0	0
CatHead	10	1	0	0	0	0
CatHead	11	1	0	0	0	0
CatHead	12	1	0	0	0	0
CatHead	13	1	0	0	0	0
CatHead	14	1	0	0	0	0
CatHead	15	1	0	0	0	0
CatHead	16	1	0	0	0	0
CatHead	17	1	0	0	0	0
CatHead	18	1	0	0	0	0
CatHead	19	1	0	0	0	0
CatHead	20	1	0	0	0	0
CatHead	21	1	0	0	0	0
CatHead	22	1	0	0	0	0
CatHead	23	1	0	0	0	0
CatHead	24	1	0	0	0	0
CatHead	25	1	0	0	0	0
CatHead	26	1	0	0	0	0
CatHead	27	1	0	0	0	0
CatHead	28	1	0	0	0	0
CatHead	29	1	0	0	0	0
CatHead	30	1	0	0	0	0
CatHead	31	1	0	0	0	0
CatHead	32	1	0	0	0	0
CatHead	33	1	0	0	0	0
CatHead	34	1	0	0	0	0
CatHead	35	1	0	0	0	0
CatHead	36	1	0	0	0	0
CatHead	37	1	0	0	0	0
CatHead	38	1	0	0	0	0
CatHead	39	1	0	0	0	0
CatHead	40	1	0	0	0	0
CatHead	41	1	0	0	0	0
CatHead	42	1	0	0	0	0
CatHead	43	1	0	0	0	0
CatHead	44	1	0	0	0	0
CatHead	45	1	0	0	0	0
CatHead	46	1	0	0	0	0
CatHead	47	1	0	0	0	0
CatHead	48	1	0	0	0	0
CatHead	49	1	0	0	0	0
CatHead	50	1	0	0	0	0
CatHead	51	1	0	0	0	0
CatHead	52	1	0	0	0	0
CatHead	53	1	0	0	0	0
CatHead	54	1	0	0	0	0
CatHead	55	1	0	0	0	0
CatHead	56	1	0	0	0	0
CatHead	57	1	0	0	0	0
CatHead	58	1	0	0	0	0
CatHead	59	1	0	0	0	0
CatHead	60	1	0	0	0	0
CatHead	61	1	0	0	0	0
CatHead	62	1	0	0	0	0
CatHead	63	1	0	0	0	0
CatHead	64	1	0	0	0	0
CatHead	65	1	0	0	0	0
CatHead	66	1	0	0	0	0
CatHead	67	1	0	0	0	0
CatHead	68	1	0	0	0	0
CatHead	69	1	0	0	0	0
DogHead	1	0	1	0	0	0
DogHead	2	0	1	0	0	0
DogHead	3	0	1	0	0	0
DogHead	4	0	1	0	0	0
DogHead	5	0	1	0	0	0
DogHead	6	0	1	0	0	0
DogHead	7	0	1	0	0	0
DogHead	8	0	1	0	0	0
DogHead	9	0	1	0	0	0
DogHead	10	0	1	0	0	0
DogHead	11	0	1	0	0	0
DogHead	12	0	1	0	0	0
DogHead	13	0	1	0	0	0
DogHead	14	0	1	0	0	0
DogHead	15	0	1	0	0	0
DogHead	16	0	1	0	0	0
